country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Papua New Guinea,41.367539,46.57692,46.117462,39.497787,36.976624,31.495239,25.980498,22.156642,21.555321,21.716174,17.285863,16.278354,19.123929,24.889627,26.894612,29.930616,33.74019,33.08357,35.489961
Paraguay,30.241888,30.230879,42.674802,32.186355,22.568311,18.445737,14.210224,11.789434,10.177583,9.7710147,8.7408037,7.3261234,9.2548572,10.18067,12.432646,14.846057,15.509536,15.893833,17.138914
Peru,no data,no data,43.397877,43.579455,39.83349,37.226907,29.917154,25.780045,23.083641,22.778063,20.668969,18.360326,16.873429,16.138796,17.057606,20.174641,21.181466,21.373009,22.038698
Poland,36.274216,32.946056,41.274486,44.988001,44.135116,46.57465,46.592056,42.230473,44.316893,46.021192,48.56097,49.215966,48.719873,50.578047,45.333923,46.358062,49.898468,46.673021,45.104785
Portugal,49.862788,52.33585,54.864006,57.213803,60.459828,65.262213,66.957014,66.229664,69.498634,81.015754,93.771087,109.16994,125.56478,128.63044,131.19338,129.68114,130.68543,126.55648,123.30741
Qatar,52.542963,59.087076,47.592305,39.087753,29.03493,19.171062,13.430801,8.9275077,11.095734,32.447546,29.108451,33.473878,32.118411,30.883226,24.911957,35.546881,46.706774,49.751408,48.624873
Romania,23.100759,27.38727,26.80101,23.461579,19.904589,16.129015,13.418296,13.012887,12.494512,21.185984,28.604554,32.973717,35.698734,36.438126,38.345198,37.421087,37.557614,35.8197,35.903193
Russian Federation,58.8,48.5,34.5,27.8,21.7,13.275143,8.4353219,6.7382152,6.0807294,7.7679401,8.3719917,8.879432,9.5821177,11.05535,13.781443,14.147817,13.781165,13.456714,12.915969
Rwanda,102.52731,98.628764,107.96142,92.109998,92.084187,67.000298,23.38538,23.202831,19.230259,17.954124,19.008487,16.266122,18.620961,20.778605,26.56043,29.694176,32.914428,36.498829,40.66298
Saint Kitts and Nevis,21.825924,21.489902,18.827596,12.65913,no data,89.132014,98.539411,92.926773,87.652798,90.192659,93.493483,87.773686,84.023934,58.243871,51.240122,41.680364,37.462285,35.41854,27.734484
Saint Lucia,36.250607,42.552284,54.525391,50.927138,55.363851,57.973795,54.243367,50.981363,51.749886,55.774234,56.108964,59.880285,67.438078,69.439053,69.975878,66.527661,67.271452,66.429331,64.915427
Saint Vincent and the Grenadines,49.841582,49.098488,51.60283,52.24013,55.549794,46.177272,38.870653,39.097918,38.949096,45.918351,53.641714,57.009312,60.929068,63.150406,68.645497,67.648434,68.356548,61.81846,64.024987
Samoa,57.206727,55.170083,51.583695,43.865599,40.86884,35.031219,34.359214,32.277261,28.9059,32.312312,41.164806,42.129095,49.161965,53.604163,54.403633,57.780121,52.581154,49.098947,50.318626
San Marino,no data,no data,no data,no data,16.914002,14.477956,14.154407,12.959619,15.813081,20.424317,20.337229,19.47607,23.3097,34.975172,32.862652,33.502745,35.245952,76.641183,77.949532
